dataset_name,publisher,url_or_location,access_method,geographic_coverage,publication_or_update_date,access_date,licence_or_permission_status,permitted_intended_use,personal_data_presence,useful_identifiers,refresh_cadence,known_limitations,demo_status,owner,verification_status
"Local Government Directory (LGD)","Ministry of Panchayati Raj / NIC","https://lgdirectory.gov.in/","Public web lookup; no confirmed bulk-export API","National","Live / rolling directory","2026-09-09","reference-only (public live lookup permitted for manual verification; not licensed for bulk ingestion or reuse — public visibility is not permission for reuse)","Manual reference/citation and district-eligibility check only; no record values copied into demo fixtures or the datastore","None (administrative codes only)","LGD codes","Rolling / live","Not a guaranteed GPS-to-ward polygon service; reference-only, no confirmed bulk-reuse licence","unavailable / not approved (reference-only; not ingested)","Data","partially verified — site verified live; not licensed for ingestion"
"Know Your School (KYS)","Department of School Education and Literacy / NIC","https://kys.udiseplus.gov.in/home/?searchStrShowOnRsltPage=udrs+2.0","Public single-school lookup; not a bulk-data API","National","Displayed version 2025-09-23","2026-09-09","reference-only (public single-record lookup permitted for manual verification; not licensed for bulk ingestion — public visibility is not permission for reuse)","Manual reference/citation and district-eligibility check only; no record values copied into demo fixtures or the datastore","School-level only (no student-level data)","UDISE school codes","Unknown / displayed version dated","Official public lookup, not a verified bulk-data source; reference-only","unavailable / not approved (reference-only; not ingested)","Data","partially verified — site verified live; not licensed for ingestion"
"Code for Communities governance-track scope reference","Google Developer Groups India","https://www.linkedin.com/company/gdgindia","Public campaign page; citation only","India / BRICS challenge context","Current campaign viewed 2026-09-09","2026-09-09","reference-only documentation; not an ingested dataset","Cite the challenge framing and the public Sangli stakeholder narrative in V001 only","Public professional statement; no participant data ingested","Not applicable","Campaign updates","Social/campaign page may change; not a requirements API or data source","not used as a dataset (reference only)","Product","verified as a public scope reference; event requirements still governed by the official competition portal"
"Sangli district profile — V001 scope reference","District Administration Sangli / NIC","https://sangli.nic.in/en/about-district/","Public official web page; citation only","Sangli district, Maharashtra","Last updated 2026-09-08","2026-09-09","reference-only documentation; no record values licensed for fixture ingestion","Cite why Sangli is a bounded and varied demonstration geography; no page values copied into fixtures or the datastore","None required for intended citation use","Not applicable","Official page; update cadence unknown","Scope reference only; does not establish a department partnership, reusable boundary dataset, or constituency equivalence","not used as a dataset (reference only)","Product + Data","verified as official district reference; not evaluated or approved for ingestion"
"Maharashtra Marathi-language circular — V001 scope reference","Marathi Language Department, Government of Maharashtra","https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/201712051645450633.pdf","Public official PDF; citation only","Maharashtra","5 December 2017","2026-09-09","publicly published reference document; not an ingested dataset","Support the V001 selection of Marathi as the regional demonstration language","None","Not applicable","Static document; revisions must be checked before Pilot","Policy reference only; does not demonstrate product language accuracy","not used as a dataset (reference only)","Product","verified as official language-policy reference"
"Gemini audio transcription language support — V001 feasibility reference","Google AI for Developers","https://ai.google.dev/gemini-api/docs/transcribe","Public product documentation","Provider capability","Live documentation viewed 2026-09-09","2026-09-09","publicly published reference documentation; provider terms still apply","Confirm that the planned transcription interface lists Marathi BCP 47 locale mr-IN; no citizen audio is sourced from this page","None","mr-IN","Live documentation","Provider capability, model availability, limits and terms may change; real quality remains unevaluated until V046","not used as a dataset (reference only)","AI + Backend","verified as current feasibility reference; implementation and evaluation pending"
"UDISE+ Data Sharing registration","Department of School Education and Literacy / NIC","https://microdata.udiseplus.gov.in/register","Requires separate registration and review","National","Undated live registration page","2026-09-09","unavailable / not-approved for ingestion (registration and review not completed)","Prospective bulk school/asset dataset for the selected district","Unknown until registration reviewed","UDISE codes","Unknown","Registration and verification required before any access is granted","unavailable / not approved (registration not initiated)","Data","not verified — access not initiated"
"eGramSwaraj","National Informatics Centre","https://www.nic.gov.in/project/egramswaraj/","Public project page; no confirmed open external bulk API","Rural Panchayati Raj Institution (PRI) scope","Updated 2026-05-27","2026-09-09","unavailable / not-approved for ingestion (candidate only; no reuse rights confirmed)","Candidate rural planning, progress, and asset/geotagging context","None expected (asset/scheme level)","LGD-linked identifiers","Unknown","PRI/rural scope only; no confirmed open external bulk API","unavailable / not approved (candidate only, not yet evaluated for the selected district)","Data","not verified"
"CPGRAMS public grievance portal","DARPG","https://pgportal.gov.in/","Public portal; not ingested by Vision","National","Live government portal","2026-09-09","not applicable — reference only, not an ingested dataset","Policy reference only: illustrates that emailed grievances are not an accepted government channel; Vision is not a CPGRAMS integration","Not applicable","Not applicable","Not applicable","Reference-only; not a demo data source for Vision","not used as a dataset (reference only)","Product","verified as a reference source (not evaluated for ingestion)"
"DigiLocker — Become a Requester","NeGD / MeitY / DigiLocker","https://www.digilocker.gov.in/web/partners/requesters","Formal requester onboarding process","National","Live partner documentation","2026-09-09","requires organisational eligibility, vetting, agreement, and go-live approval — onboarding not yet initiated","Identity adapter for an approved real pilot only (not the Hackathon)","Yes — real identity data would flow through this adapter in a pilot; simulated identity is used instead for the Hackathon","DigiLocker account ID (opaque), transient reference_key","Not applicable","Onboarding not started; production access must not be assumed","unavailable / not approved for Hackathon; simulated identity adapter used instead","Backend + Partnerships","document verified (SOP/spec reviewed); organisational onboarding not verified / not initiated"
"DigiLocker — Standard Operating Procedure for Partners","DigiLocker","https://cf-media.api-setu.in/resources/Partners-SOP.pdf","Public PDF (pages 1-4 reviewed)","National","5 June 2024","2026-09-09","publicly published procedure document; does not itself grant access","Reference for organisational eligibility, vetting, agreement, and go-live steps","None (procedure document)","Not applicable","Static document, revisions unknown","Reference-only; not a data source","not used as a dataset (reference only)","Backend + Partnerships","verified as a reference document"
"Prospective department recipient (district education authority)","Exact Sangli district legal recipient to be verified by Product / Partnerships","Not yet identified","Not yet determined","Sangli district, Maharashtra","Not applicable","Not applicable","not applicable — no partner named or contacted","Real acknowledgment integration target for the Pilot phase only (V058)","Unknown until a partner is named and a data-exchange agreement is reached","Not applicable","Not applicable","Sangli selection does not identify the correct legal custodian; no partner named or contacted","unavailable / not approved; simulated department-inbox adapter used for the Hackathon","Product + Partnerships","not applicable — no organisation contacted"
"Department/jurisdiction responsibility directory (Hackathon)","Team Vision (internal)","docs/foundation/ (to be authored under V011)","Team-authored fixture, reviewed internally","Sangli district, Maharashtra","Not yet created","Not applicable","team-created synthetic data; no external licence required","Simulated routing directory for the Hackathon demonstration only","None","Internal fixture IDs","Versioned per V011","Synthetic; must never be presented as a real government-approved directory","team-created synthetic data (planned, not yet created)","AI + Data","not applicable — internally authored, not yet created"
"Reviewed fixtures and evaluation holdout (V011 corpus)","Team Vision (internal)","docs/foundation/ or a later fixtures directory (to be created under V011)","Internal authoring and review","Sangli district; Marathi (mr-IN) and English (en-IN)","Not yet created","Not applicable","team-created synthetic data and/or consented evaluation data, per item","Model/matching fixtures and a sealed held-out bilingual evaluation set (V011, V046)","Depends on item: some team-created synthetic, some consented real evaluation media","Internal fixture IDs","Versioned per V011","Not yet created; V011 has not started","team-created synthetic data / consented evaluation data (planned)","AI + Data","not applicable — not yet created"
"Population / school-enrolment demographic source (candidate)","Not yet selected — candidates include Census of India and Maharashtra education statistics","verification pending","verification pending","Sangli district, Maharashtra","verification pending","2026-09-09","unavailable / not-approved for ingestion (no specific dataset selected)","Affected-population context estimates only (never derived from report volume)","Likely aggregate-only; verification pending","verification pending","verification pending","No specific dataset has been selected or evaluated yet","unavailable / not approved","Data","not verified — placeholder entry pending Data-owner review"
"Sanctioned government project / funding records (candidate)","Not yet selected — candidates include Maharashtra project-tracking portals and the Public Financial Management System (PFMS)","verification pending","verification pending","Sangli district, Maharashtra","verification pending","2026-09-09","unavailable / not-approved for ingestion (no specific dataset selected)","Project/funding-association context for prioritisation (V041, V042)","None expected at project level; verification pending","verification pending","verification pending","No specific dataset has been selected or evaluated yet","unavailable / not approved","Data","not verified — placeholder entry pending Data-owner review"
"Contractor / work-order records (candidate)","Not yet selected — no source identified","verification pending","verification pending","Sangli district, Maharashtra","verification pending","2026-09-09","unavailable / not-approved for ingestion (no source identified)","Deferred; Scale-phase historical/contractor analysis only (V071), not required for the Hackathon","verification pending","verification pending","verification pending","No source currently identified; may remain unavailable indefinitely","unavailable / not approved","Data","not verified — no candidate identified"
"Historical resolution / prior complaint records for Sangli district (candidate)","Not yet selected — no source identified","verification pending","verification pending","Sangli district, Maharashtra","verification pending","2026-09-09","unavailable / not-approved for ingestion (no source identified)","Illustrative historical context only, if a permitted source is later found","verification pending","verification pending","verification pending","No Sangli-specific source currently identified or evaluated","unavailable / not approved","Data","not verified — no candidate identified"
